id,name,code,close_method,note,display_name,report_type
account.account_type_asset_view1,Asset View,asset,None,,Asset View,Balance Sheet (Asset account)
account.data_account_type_asset,Asset,asset,Balance,,Asset,Balance Sheet (Asset account)
account.data_account_type_bank,Bank,bank,Balance,,Bank,Balance Sheet (Asset account)
account.data_account_type_cash,Cash,cash,Balance,,Cash,Balance Sheet (Asset account)
account.conf_account_type_chk,Check,check,Balance,,Check,Balance Sheet (Asset account)
account.conf_account_type_equity,Equity,equity,Balance,,Equity,Balance Sheet (Liability account)
account.data_account_type_expense,Expense,expense,None,,Expense,Profit & Loss (Expense account)
account.account_type_expense_view1,Expense View,expense,None,,Expense View,Profit & Loss (Expense account)
account.data_account_type_income,Income,income,None,,Income,Profit & Loss (Income account)
account.account_type_liability_view1,Liability View,liability,None,,Liability View,Balance Sheet (Liability account)
account.data_account_type_liability,Liability,liability,Balance,,Liability,Balance Sheet (Liability account)
account.data_account_type_payable,Payable,payable,Unreconciled,,Payable,Balance Sheet (Liability account)
account.data_account_type_receivable,Receivable,receivable,Unreconciled,,Receivable,Balance Sheet (Asset account)
account.conf_account_type_tax,Tax,tax,Unreconciled,,Tax,Profit & Loss (Expense account)
account.account_type_income_view1,Income View,view,None,,Income View,Profit & Loss (Income account)
account.data_account_type_view,Root/View,view,None,,Root/View,/
l10n_co.account_type_selling_costs,Selling Costs,sellingcosts,Balance,,Selling Costs,Profit & Loss (Expense account)
l10n_co.account_type_stock,Stock/Inventory,stock,None,,Stock/Inventory,Balance Sheet (Asset account)
l10n_co.account_type_production_costs,Production Costs,productioncosts,Balance,,Production Costs,Profit & Loss (Expense account)
l10n_co.account_type_auxiliaries,Auxiliary,aux,None,,Auxiliary,/
