,id,domain,description,chart_template_id:id,type_tax_use,name,sequence,amount,parent_id:id,child_depend,price_include,type,account_collected_id:id,account_paid_id:id,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,base_sign,tax_sign
001,tax_iinc_04sv,inc,INC04S>,l10n_co_chart_template_generic,Sale,INC   4% SERV - OUT,,0.04,,,TRUE,percent,co_puc_249510,co_puc_249510,atctn_inc_V_04_S_B,atctn_inc_V_04_S_V,atctn_inc_V_04_S_DB,atctn_inc_V_04_S_DV,-1,-1,1,1
002,tax_iinc_08sv,inc,INC08S>,l10n_co_chart_template_generic,Sale,INC   8% BIEN - OUT,,0.08,,,TRUE,percent,co_puc_249510,co_puc_249510,atctn_inc_V_08_B_B,atctn_inc_V_08_B_V,atctn_inc_V_08_B_DB,atctn_inc_V_08_B_DV,-1,-1,1,1
003,tax_iinc_08bv,inc,INC08B>,l10n_co_chart_template_generic,Sale,INC   8% SERV - OUT,,0.08,,,TRUE,percent,co_puc_249510,co_puc_249510,atctn_inc_V_08_S_B,atctn_inc_V_08_S_V,atctn_inc_V_08_S_DB,atctn_inc_V_08_S_DV,-1,-1,1,1
004,tax_iinc_16sv,inc,INC16S>,l10n_co_chart_template_generic,Sale,INC  16% BIEN - OUT,,0.16,,,TRUE,percent,co_puc_249510,co_puc_249510,atctn_inc_V_16_B_B,atctn_inc_V_16_B_V,atctn_inc_V_16_B_DB,atctn_inc_V_16_B_DV,-1,-1,1,1
005,tax_iinc_16bv,inc,INC16B>,l10n_co_chart_template_generic,Sale,INC  16% SERV - OUT,,0.16,,,TRUE,percent,co_puc_249510,co_puc_249510,atctn_inc_V_16_S_B,atctn_inc_V_16_S_V,atctn_inc_V_16_S_DB,atctn_inc_V_16_S_DV,-1,-1,1,1
006,tax_iinc_04sc,inc,INC04S<,l10n_co_chart_template_generic,Purchase,INC   4% SERV - IN,,0.04,,,TRUE,percent,,,atctn_inc_C_04_S_B,atctn_inc_C_04_S_V,atctn_inc_C_04_S_DB,atctn_inc_C_04_S_DV,-1,-1,1,1
007,tax_iinc_08sc,inc,INC08S<,l10n_co_chart_template_generic,Purchase,INC   8% BIEN - IN,,0.08,,,TRUE,percent,,,atctn_inc_C_08_B_B,atctn_inc_C_08_B_V,atctn_inc_C_08_B_DB,atctn_inc_C_08_B_DV,-1,-1,1,1
008,tax_iinc_08bc,inc,INC08B<,l10n_co_chart_template_generic,Purchase,INC   8% SERV - IN,,0.08,,,TRUE,percent,,,atctn_inc_C_08_S_B,atctn_inc_C_08_S_V,atctn_inc_C_08_S_DB,atctn_inc_C_08_S_DV,-1,-1,1,1
009,tax_iinc_16sc,inc,INC16S<,l10n_co_chart_template_generic,Purchase,INC  16% BIEN - IN,,0.16,,,TRUE,percent,,,atctn_inc_C_16_B_B,atctn_inc_C_16_B_V,atctn_inc_C_16_B_DB,atctn_inc_C_16_B_DV,-1,-1,1,1
010,tax_iinc_16bc,inc,INC16B<,l10n_co_chart_template_generic,Purchase,INC  16% SERV - IN,,0.16,,,TRUE,percent,,,atctn_inc_C_16_S_B,atctn_inc_C_16_S_V,atctn_inc_C_16_S_DB,atctn_inc_C_16_S_DV,-1,-1,1,1
011,tax_iinc_08bc_IMP,inc,INC08B<IM,l10n_co_chart_template_generic,Purchase,INC   8% BIEN - IMP,,0.08,,,FALSE,percent,,,atctn_inc_C_08_IMP_B,atctn_inc_C_08_IMP_V,atctn_inc_C_08_IMP_DB,atctn_inc_C_08_IMP_DV,-1,-1,1,1
012,tax_iinc_16bc_IMP,inc,INC16B<IM,l10n_co_chart_template_generic,Purchase,INC  16% BIEN - IMP,,0.16,,,FALSE,percent,,,atctn_inc_C_16_IMP_B,atctn_inc_C_16_IMP_V,atctn_inc_C_16_IMP_DB,atctn_inc_C_16_IMP_DV,-1,-1,1,1
013,tax_arcree_004v,ar_cree,CREE04>,l10n_co_chart_template_generic,Sale,CREE  4 ‰,,1.0,,TRUE,,percent,,,,,,,,,,
014,tax_arcree_004v_AR,ar_cree,CREE04>\,l10n_co_chart_template_generic,Sale,CREE  4 ‰ AUTORET,,-0.004,tax_arcree_004v,,,percent,co_puc_236575,co_puc_236575,atctn_r_cree_0004_B,atctn_r_cree_0004_V,atctn_r_cree_0004_DB,atctn_r_cree_0004_DV,-1,-1,1,1
015,tax_arcree_004v_CP,ar_cree,CREE04>/,l10n_co_chart_template_generic,Sale,CREE  4 ‰ CONTRAP,,0.004,tax_arcree_004v,,,percent,co_puc_135595,co_puc_135595,,,,,,,,
016,tax_arcree_008v,ar_cree,CREE08>,l10n_co_chart_template_generic,Sale,CREE  8 ‰,,1.0,,TRUE,,percent,,,,,,,,,,
017,tax_arcree_008v_AR,ar_cree,CREE08>\,l10n_co_chart_template_generic,Sale,CREE  8 ‰ AUTORET,,-0.008,tax_arcree_008v,,,percent,co_puc_236575,co_puc_236575,atctn_r_cree_0008_B,atctn_r_cree_0008_V,atctn_r_cree_0008_DB,atctn_r_cree_0008_DV,-1,-1,1,1
018,tax_arcree_008v_CP,ar_cree,CREE08>/,l10n_co_chart_template_generic,Sale,CREE  8 ‰ CONTRAP,,0.008,tax_arcree_008v,,,percent,co_puc_135595,co_puc_135595,,,,,,,,
019,tax_arcree_016v,ar_cree,CREE16>,l10n_co_chart_template_generic,Sale,CREE 16 ‰,,1.0,,TRUE,,percent,,,,,,,,,,
020,tax_arcree_016v_AR,ar_cree,CREE16>AR,l10n_co_chart_template_generic,Sale,CREE 16 ‰ AUTORET,,-0.0016,tax_arcree_016v,,,percent,co_puc_236575,co_puc_236575,atctn_r_cree_0016_B,atctn_r_cree_0016_V,atctn_r_cree_0016_DB,atctn_r_cree_0016_DV,-1,-1,1,1
021,tax_arcree_016v_CP,ar_cree,CREE16>CP,l10n_co_chart_template_generic,Sale,CREE 16 ‰ CONTRAP,,0.0016,tax_arcree_016v,,,percent,co_puc_135595,co_puc_135595,,,,,,,,
022,tax_iiva_05bv,iva,IVA05B>,l10n_co_chart_template_generic,Sale,IVA   5%  BIEN NACIONAL - OUT,,0.05,,,,percent,co_puc_240805,co_puc_240805,atctn_iva_B0500_V_NAT_B,atctn_iva_B0500_V_NAT_V,atctn_iva_B0500_V_NAT_DB,atctn_iva_B0500_V_NAT_DV,-1,-1,1,1
023,tax_iiva_05bv_EXT,iva,IVA05B>EX,l10n_co_chart_template_generic,Sale,IVA ( 5%) BIEN EXTERIOR -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_B0500_V_EXT_B,atctn_iva_B0500_V_EXT_V,atctn_iva_B0500_V_EXT_DB,atctn_iva_B0500_V_EXT_DV,-1,-1,1,1
024,tax_iiva_05bv_ZFR,iva,IVA05B>ZF,l10n_co_chart_template_generic,Sale,IVA ( 5%) BIEN ZONA FRANCA -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_B0500_V_ZFR_B,atctn_iva_B0500_V_ZFR_V,atctn_iva_B0500_V_ZFR_DB,atctn_iva_B0500_V_ZFR_DV,-1,-1,1,1
025,tax_iiva_05bv_SCI,iva,IVA05B>SI,l10n_co_chart_template_generic,Sale,IVA ( 5%) BIEN SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_B0500_V_SCI_B,atctn_iva_B0500_V_SCI_V,atctn_iva_B0500_V_SCI_DB,atctn_iva_B0500_V_SCI_DV,-1,-1,1,1
026,tax_iiva_05sv,iva,IVA05S>,l10n_co_chart_template_generic,Sale,IVA   5%  SERV - OUT,,0.05,,,,percent,co_puc_240805,co_puc_240805,atctn_iva_S0500_V_NAT_B,atctn_iva_S0500_V_NAT_V,atctn_iva_S0500_V_NAT_DB,atctn_iva_S0500_V_NAT_DV,-1,-1,1,1
027,tax_iiva_05sv_EXT,iva,IVA05S>EX,l10n_co_chart_template_generic,Sale,IVA ( 5%) SERV EXTERIOR -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S0500_V_EXT_B,atctn_iva_S0500_V_EXT_V,atctn_iva_S0500_V_EXT_DB,atctn_iva_S0500_V_EXT_DV,-1,-1,1,1
028,tax_iiva_05sv_ZFR,iva,IVA05S>ZF,l10n_co_chart_template_generic,Sale,IVA ( 5%) SERV ZONA FRANCA -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S0500_V_ZFR_B,atctn_iva_S0500_V_ZFR_V,atctn_iva_S0500_V_ZFR_DB,atctn_iva_S0500_V_ZFR_DV,-1,-1,1,1
029,tax_iiva_05sv_SCI,iva,IVA05S>SI,l10n_co_chart_template_generic,Sale,IVA ( 5%) SERV SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S0500_V_SCI_B,atctn_iva_S0500_V_SCI_V,atctn_iva_S0500_V_SCI_DB,atctn_iva_S0500_V_SCI_DV,-1,-1,1,1
030,tax_iiva_16bv,iva,IVA16b>,l10n_co_chart_template_generic,Sale,IVA  16%  BIEN - OUT,,0.16,,,,percent,co_puc_240805,co_puc_240805,atctn_iva_B1600_V_NAT_B,atctn_iva_B1600_V_NAT_V,atctn_iva_B1600_V_NAT_DB,atctn_iva_B1600_V_NAT_DV,-1,-1,1,1
031,tax_iiva_16bv_EXT,iva,IVA16b>EX,l10n_co_chart_template_generic,Sale,IVA (16%) BIEN EXTERIOR -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_B1600_V_EXT_B,atctn_iva_B1600_V_EXT_V,atctn_iva_B1600_V_EXT_DB,atctn_iva_B1600_V_EXT_DV,-1,-1,1,1
032,tax_iiva_16bv_ZFR,iva,IVA16b>ZF,l10n_co_chart_template_generic,Sale,IVA (16%) BIEN ZONA FRANCA -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_B1600_V_ZFR_B,atctn_iva_B1600_V_ZFR_V,atctn_iva_B1600_V_ZFR_DB,atctn_iva_B1600_V_ZFR_DV,-1,-1,1,1
033,tax_iiva_16bv_SCI,iva,IVA16b>SI,l10n_co_chart_template_generic,Sale,IVA (16%) BIEN SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_B1600_V_SCI_B,atctn_iva_B1600_V_SCI_V,atctn_iva_B1600_V_SCI_DB,atctn_iva_B1600_V_SCI_DV,-1,-1,1,1
034,tax_iiva_16sv,iva,IVA16S>,l10n_co_chart_template_generic,Sale,IVA  16%  SERV - OUT,,0.16,,,,percent,co_puc_240805,co_puc_240805,atctn_iva_S1600_V_NAT_B,atctn_iva_S1600_V_NAT_V,atctn_iva_S1600_V_NAT_DB,atctn_iva_S1600_V_NAT_DV,-1,-1,1,1
035,tax_iiva_16sv_EXT,iva,IVA16S>EX,l10n_co_chart_template_generic,Sale,IVA (16%) SERV EXTERIOR -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S1600_V_EXT_B,atctn_iva_S1600_V_EXT_V,atctn_iva_S1600_V_EXT_DB,atctn_iva_S1600_V_EXT_DV,-1,-1,1,1
036,tax_iiva_16sv_ZFR,iva,IVA16S>ZF,l10n_co_chart_template_generic,Sale,IVA (16%) SERV ZONA FRANCA -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S1600_V_ZFR_B,atctn_iva_S1600_V_ZFR_V,atctn_iva_S1600_V_ZFR_DB,atctn_iva_S1600_V_ZFR_DV,-1,-1,1,1
037,tax_iiva_16sv_SCI,iva,IVA16S>SI,l10n_co_chart_template_generic,Sale,IVA (16%) SERV SOCEDAD COMMERCIO INTERNACIONAL -> 0% - OUT,,0.00,,,,percent,,,atctn_iva_S1600_V_SCI_B,atctn_iva_S1600_V_SCI_V,atctn_iva_S1600_V_SCI_DB,atctn_iva_S1600_V_SCI_DV,-1,-1,1,1
038,tax_iiva_exe_bv,iva,IVAeeB>,l10n_co_chart_template_generic,Sale,IVA EXENT BIEN - OUT,,0.00,,,,percent,,,atctn_iva_Bexen_V_NAT_B,atctn_iva_Bexen_V_NAT_V,atctn_iva_Bexen_V_NAT_DB,atctn_iva_Bexen_V_NAT_DV,-1,-1,1,1
039,tax_iiva_exe_bv_EXT,iva,IVAeeB>EX,l10n_co_chart_template_generic,Sale,IVA EXENT BIEN EXTERIOR - OUT,,0.00,,,,percent,,,atctn_iva_Bexen_V_EXT_B,atctn_iva_Bexen_V_EXT_V,atctn_iva_Bexen_V_EXT_DB,atctn_iva_Bexen_V_EXT_DV,-1,-1,1,1
