id,code,name,district_id/id,city_id/id
upz_1,89,SAN ISIDRO-PATIOS,l10n_co_base.localidad_2,l10n_co_base.city_11001
upz_2,23,CASA BLANCA SUBA,l10n_co_base.localidad_11,l10n_co_base.city_11001
upz_3,88,EL REFUGIO,l10n_co_base.localidad_2,l10n_co_base.city_11001
upz_4,91,SAGRADO CORAZON,l10n_co_base.localidad_3,l10n_co_base.city_11001
upz_5,64,MONTE BLANCO,l10n_co_base.localidad_19,l10n_co_base.city_11001
upz_6,71,TIBABUYES,l10n_co_base.localidad_11,l10n_co_base.city_11001
upz_7,113,BAVARIA,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_8,103,PARQUE EL SALITRE,l10n_co_base.localidad_12,l10n_co_base.city_11001
upz_9,79,CALANDAIMA,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_10,76,FONTIBON SAN PABLO,l10n_co_base.localidad_9,l10n_co_base.city_11001
upz_11,14,USAQUEN,l10n_co_base.localidad_1,l10n_co_base.city_11001
upz_12,52,LA FLORA,l10n_co_base.localidad_5,l10n_co_base.city_11001
upz_13,45,CARVAJAL,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_14,78,TINTAL NORTE,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_15,73,GARCES NAVAS,l10n_co_base.localidad_10,l10n_co_base.city_11001
upz_16,10,LA URIBE,l10n_co_base.localidad_1,l10n_co_base.city_11001
upz_17,58,COMUNEROS,l10n_co_base.localidad_5,l10n_co_base.city_11001
upz_18,67,LUCERO,l10n_co_base.localidad_19,l10n_co_base.city_11001
upz_19,19,EL PRADO,l10n_co_base.localidad_11,l10n_co_base.city_11001
upz_20,51,LOS LIBERTADORES,l10n_co_base.localidad_4,l10n_co_base.city_11001
upz_21,93,LAS NIEVES,l10n_co_base.localidad_3,l10n_co_base.city_11001
upz_22,21,LOS ANDES,l10n_co_base.localidad_12,l10n_co_base.city_11001
upz_23,18,BRITALIA,l10n_co_base.localidad_11,l10n_co_base.city_11001
upz_24,35,CIUDAD JARDIN,l10n_co_base.localidad_15,l10n_co_base.city_11001
upz_25,40,CIUDAD MONTES,l10n_co_base.localidad_16,l10n_co_base.city_11001
upz_26,116,ALAMOS,l10n_co_base.localidad_10,l10n_co_base.city_11001
upz_27,85,BOSA CENTRAL,l10n_co_base.localidad_7,l10n_co_base.city_11001
upz_28,96,LOURDES,l10n_co_base.localidad_3,l10n_co_base.city_11001
upz_29,112,GRANJAS DE TECHO,l10n_co_base.localidad_9,l10n_co_base.city_11001
upz_30,86,EL PORVENIR,l10n_co_base.localidad_7,l10n_co_base.city_11001
upz_31,25,LA FLORESTA,l10n_co_base.localidad_11,l10n_co_base.city_11001
upz_32,68,EL TESORO,l10n_co_base.localidad_19,l10n_co_base.city_11001
upz_33,29,EL MINUTO DE DIOS,l10n_co_base.localidad_10,l10n_co_base.city_11001
upz_34,90,PARDO RUBIO,l10n_co_base.localidad_2,l10n_co_base.city_11001
upz_35,109,CIUDAD SALITRE ORIENTAL,l10n_co_base.localidad_13,l10n_co_base.city_11001
upz_36,44,AMERICAS,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_37,49,APOGEO,l10n_co_base.localidad_7,l10n_co_base.city_11001
upz_38,102,LA SABANA,l10n_co_base.localidad_14,l10n_co_base.city_11001
upz_39,114,MODELIA,l10n_co_base.localidad_9,l10n_co_base.city_11001
upz_40,602,PARQUE ENTRENUBES,l10n_co_base.localidad_5,l10n_co_base.city_11001
upz_41,97,CHICO LAGO,l10n_co_base.localidad_2,l10n_co_base.city_11001
upz_42,80,CORABASTOS,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_43,61,CIUDAD USME,l10n_co_base.localidad_5,l10n_co_base.city_11001
upz_44,26,LAS FERIAS,l10n_co_base.localidad_10,l10n_co_base.city_11001
upz_45,53,MARCO FIDEL SUAREZ,l10n_co_base.localidad_18,l10n_co_base.city_11001
upz_46,77,ZONA FRANCA,l10n_co_base.localidad_9,l10n_co_base.city_11001
upz_47,83,LAS MARGARITAS,l10n_co_base.localidad_8,l10n_co_base.city_11001
upz_48,20,LA ALHAMBRA,l10n_co_base.localidad_11,l10n_co_base.city_11001
